iter	Passed	Remaining
167	1229	6665
168	1237	6664
169	1245	6658
170	1251	6647
171	1259	6640
172	1266	6633
173	1274	6626
174	1281	6618
175	1288	6611
176	1296	6606
177	1303	6599
178	1310	6587
179	1317	6579
180	1324	6571
181	1331	6563
182	1339	6556
183	1346	6550
184	1354	6543
185	1361	6537
186	1369	6533
187	1378	6532
188	1386	6527
189	1393	6522
190	1401	6516
191	1409	6512
192	1416	6504
193	1424	6496
194	1431	6488
195	1439	6483
196	1446	6476
197	1454	6473
198	1462	6467
199	1469	6459
200	1476	6450
201	1484	6443
202	1490	6432
203	1498	6426
204	1505	6419
205	1513	6413
206	1520	6404
207	1527	6395
208	1534	6387
209	1542	6381
210	1549	6374
211	1557	6368
212	1563	6358
213	1571	6352
214	1579	6346
215	1586	6339
216	1593	6331
217	1601	6325
218	1608	6316
219	1616	6311
220	1624	6305
221	1632	6300
222	1639	6294
223	1647	6289
224	1654	6281
225	1662	6274
226	1670	6268
227	1677	6260
228	1685	6255
229	1693	6250
230	1700	6243
231	1708	6236
232	1715	6230
233	1723	6223
234	1730	6215
235	1737	6207
236	1743	6195
237	1750	6185
238	1757	6176
239	1764	6168
240	1771	6159
241	1778	6150
242	1784	6140
243	1791	6131
244	1798	6123
245	1805	6112
246	1811	6103
247	1818	6094
248	1825	6085
249	1832	6076
250	1838	6066
251	1845	6057
252	1852	6049
253	1860	6041
254	1867	6033
255	1874	6025
256	1883	6023
257	1889	6013
258	1896	6005
259	1903	5997
260	1910	5988
261	1917	5979
262	1923	5969
263	1931	5962
264	1938	5954
265	1945	5946
266	1952	5936
267	1959	5929
268	1966	5922
269	1973	5912
270	1980	5904
271	1988	5898
272	1995	5890
273	2002	5881
274	2008	5872
275	2016	5865
276	2023	5857
277	2031	5851
278	2038	5843
279	2045	5835
280	2051	5826
281	2058	5817
282	2065	5808
283	2072	5800
284	2079	5793
285	2086	5785
286	2093	5777
287	2100	5768
288	2107	5760
289	2113	5751
290	2121	5744
291	2128	5736
292	2135	5728
293	2142	5719
294	2148	5711
295	2155	5702
296	2162	5694
297	2169	5685
298	2175	5676
299	2182	5668
300	2189	5658
301	2195	5648
302	2202	5640
303	2209	5632
304	2215	5622
305	2222	5615
306	2229	5607
307	2236	5597
308	2243	5589
309	2250	5581
310	2257	5574
311	2264	5565
312	2271	5557
313	2278	5550
314	2285	5542
315	2292	5535
316	2300	5528
317	2306	5519
318	2313	5511
319	2320	5503
320	2326	5494
321	2332	5484
322	2339	5475
323	2346	5468
324	2353	5460
325	2360	5451
326	2367	5443
327	2373	5434
328	2380	5426
329	2387	5417
330	2393	5409
331	2400	5400
332	2408	5395
333	2415	5386
334	2422	5379
335	2430	5374
336	2437	5367
337	2444	5358
338	2450	5349
339	2457	5341
340	2464	5333
341	2471	5326
342	2478	5318
343	2485	5309
344	2491	5300
345	2499	5294
346	2506	5286
347	2512	5278
348	2518	5268
349	2525	5261
350	2533	5253
351	2539	5245
352	2546	5237
353	2554	5230
354	2560	5222
355	2567	5214
356	2574	5207
357	2582	5200
358	2588	5191
359	2596	5184
360	2602	5176
361	2609	5168
362	2615	5159
363	2623	5152
364	2629	5144
365	2638	5140
366	2645	5133
367	2652	5125
368	2659	5117
369	2665	5108
370	2673	5101
371	2680	5094
372	2689	5090
373	2696	5082
374	2705	5078
375	2711	5069
376	2720	5066
377	2727	5058
378	2736	5054
379	2744	5048
380	2753	5044
381	2760	5035
382	2768	5031
383	2775	5023
384	2785	5020
385	2792	5013
386	2801	5008
387	2808	5002
388	2817	4997
389	2824	4990
390	2834	4987
391	2841	4980
392	2849	4973
393	2856	4965
394	2862	4957
395	2869	4949
396	2876	4941
397	2884	4934
398	2891	4927
399	2898	4919
400	2904	4911
401	2911	4903
402	2919	4896
403	2927	4892
404	2939	4891
405	2948	4887
406	2955	4880
407	2963	4873
408	2970	4866
409	2978	4860
410	2986	4853
411	2993	4847
412	3001	4840
413	3010	4835
414	3017	4828
